tile_id,sheet,row,col,x,y,w,h,cv_label,cv_tags,coverage,bbox,thumbnail
general_01_16,general,1,16,256,16,16,16,stacked stairs / ladder,general;sparse;centered,0.246,"3,1,13,15",thumbs/general_01_16.png
general_01_17,general,1,17,272,16,16,16,bed / bunk,general;medium;diagonal;centered,0.406,"2,1,15,15",thumbs/general_01_17.png
general_01_18,general,1,18,288,16,16,16,window / shutter,general;medium;diagonal,0.355,"2,1,15,15",thumbs/general_01_18.png
general_01_19,general,1,19,304,16,16,16,dense rubble patch,general;sparse;centered,0.195,"3,1,14,15",thumbs/general_01_19.png
general_01_20,general,1,20,320,16,16,16,small rubble patch,general;sparse;centered,0.164,"3,2,14,15",thumbs/general_01_20.png
general_01_21,general,1,21,336,16,16,16,scattered stones,general;sparse,0.168,"1,1,15,14",thumbs/general_01_21.png
general_01_22,general,1,22,352,16,16,16,cracked floor / rubble,general;medium;diagonal;centered,0.344,"0,4,16,14",thumbs/general_01_22.png
general_01_23,general,1,23,368,16,16,16,palisade fence,general;medium;diagonal;edge-touching;centered,0.574,"0,0,16,15",thumbs/general_01_23.png
general_01_24,general,1,24,384,16,16,16,stone wall / block fence,general;medium;diagonal;edge-touching;centered;wall,0.555,"0,1,16,15",thumbs/general_01_24.png
general_01_25,general,1,25,400,16,16,16,three stones,general;sparse,0.203,"2,3,14,14",thumbs/general_01_25.png
general_01_26,general,1,26,416,16,16,16,claw marks / scratches,general;sparse,0.203,"2,1,14,14",thumbs/general_01_26.png
general_01_27,general,1,27,432,16,16,16,ladder,general;sparse;diagonal,0.25,"1,0,15,16",thumbs/general_01_27.png
general_01_28,general,1,28,448,16,16,16,bars / portcullis,general;sparse;diagonal,0.25,"0,1,16,15",thumbs/general_01_28.png
general_01_29,general,1,29,464,16,16,16,open hatch / trapdoor,general;medium;diagonal;door,0.309,"2,2,14,15",thumbs/general_01_29.png
general_01_30,general,1,30,480,16,16,16,paper / map,general;medium;diagonal;centered,0.371,"2,2,14,15",thumbs/general_01_30.png
general_01_31,general,1,31,496,16,16,16,cliff / wall edge,general;sparse;wall,0.129,"3,2,13,15",thumbs/general_01_31.png
general_02_00,general,2,0,0,32,16,16,tattered flag / banner,general;sparse,0.113,"4,1,13,11",thumbs/general_02_00.png
general_02_01,general,2,1,16,32,16,16,small debris / stones,general;sparse,0.09,"3,4,15,14",thumbs/general_02_01.png
general_02_02,general,2,2,32,32,16,16,rock pile,general;sparse;diagonal;centered;rock,0.223,"2,6,15,14",thumbs/general_02_02.png
general_02_03,general,2,3,48,32,16,16,rock / boulder,general;sparse;centered;rock,0.254,"2,2,15,14",thumbs/general_02_03.png
general_02_04,general,2,4,64,32,16,16,stalagmite / rock spire,general;medium;diagonal;centered;rock,0.297,"1,2,15,15",thumbs/general_02_04.png
items_00_00,items,0,0,0,0,16,16,long sword,items;sparse;diagonal;sword,0.113,"1,2,15,15",thumbs/items_00_00.png
items_00_01,items,0,1,16,0,16,16,short sword / dagger,items;sparse;diagonal;sword;dagger,0.129,"1,0,16,15",thumbs/items_00_01.png
items_00_02,items,0,2,32,0,16,16,slanted sword,items;sparse;diagonal;sword,0.109,"1,2,15,15",thumbs/items_00_02.png
items_00_03,items,0,3,48,0,16,16,club / cudgel,items;sparse;diagonal;centered,0.137,"1,6,12,15",thumbs/items_00_03.png
items_00_04,items,0,4,64,0,16,16,magic wand,items;sparse;diagonal;centered,0.113,"1,3,13,15",thumbs/items_00_04.png
items_00_05,items,0,5,80,0,16,16,mace,items;sparse;diagonal,0.137,"1,1,15,15",thumbs/items_00_05.png
items_00_06,items,0,6,96,0,16,16,axe,items;sparse;diagonal;centered;axe,0.113,"1,2,12,15",thumbs/items_00_06.png
items_00_07,items,0,7,112,0,16,16,pickaxe,items;sparse;diagonal;axe,0.133,"1,2,14,15",thumbs/items_00_07.png
items_00_08,items,0,8,128,0,16,16,pickaxe variant,items;sparse;axe,0.094,"4,1,13,15",thumbs/items_00_08.png
items_00_09,items,0,9,144,0,16,16,bow,items;sparse;bow,0.125,"1,1,15,15",thumbs/items_00_09.png
items_00_10,items,0,10,160,0,16,16,staff / hooked tool,items;sparse;diagonal,0.074,"2,3,13,14",thumbs/items_00_10.png
items_00_11,items,0,11,176,0,16,16,small shield / buckler,items;sparse;shield,0.047,"5,6,11,12",thumbs/items_00_11.png
items_00_12,items,0,12,192,0,16,16,arrow / bolt,items;sparse;diagonal,0.062,"2,3,13,14",thumbs/items_00_12.png
items_00_13,items,0,13,208,0,16,16,star / shuriken,items;sparse;centered,0.109,"4,4,12,12",thumbs/items_00_13.png
items_01_00,items,1,0,0,16,16,16,dagger,items;sparse;diagonal;dagger,0.074,"3,4,13,13",thumbs/items_01_00.png
items_01_01,items,1,1,16,16,16,16,rapier / narrow sword,items;sparse;diagonal;sword,0.121,"0,2,15,15",thumbs/items_01_01.png
items_01_02,items,1,2,32,16,16,16,knife,items;sparse;diagonal,0.09,"1,3,15,15",thumbs/items_01_02.png
items_01_03,items,1,3,48,16,16,16,curved dagger,items;sparse;diagonal;centered;dagger,0.199,"1,1,15,15",thumbs/items_01_03.png
items_01_04,items,1,4,64,16,16,16,hatchet,items;sparse;diagonal,0.09,"1,3,14,15",thumbs/items_01_04.png
items_01_05,items,1,5,80,16,16,16,hand axe,items;sparse;diagonal;axe,0.152,"1,1,15,15",thumbs/items_01_05.png
items_01_06,items,1,6,96,16,16,16,battle axe head,items;sparse;diagonal;centered;axe,0.129,"1,2,13,15",thumbs/items_01_06.png
items_01_07,items,1,7,112,16,16,16,spear / javelin,items;sparse;diagonal,0.117,"1,0,16,15",thumbs/items_01_07.png
items_01_08,items,1,8,128,16,16,16,halberd / polearm,items;sparse;diagonal,0.152,"1,3,16,15",thumbs/items_01_08.png
items_01_09,items,1,9,144,16,16,16,crossbow,items;sparse;diagonal;bow,0.164,"2,1,15,14",thumbs/items_01_09.png
items_01_10,items,1,10,160,16,16,16,small pouch / herbs,items;sparse;diagonal;centered,0.164,"4,2,14,14",thumbs/items_01_10.png
items_01_11,items,1,11,176,16,16,16,gem cluster / ore,items;sparse,0.117,"2,1,13,14",thumbs/items_01_11.png
items_01_12,items,1,12,192,16,16,16,scroll / parchment,items;sparse,0.117,"4,1,12,15",thumbs/items_01_12.png
items_01_13,items,1,13,208,16,16,16,ring / amulet,items;sparse,0.273,"1,2,14,15",thumbs/items_01_13.png
items_02_00,items,2,0,0,32,16,16,chest armor / breastplate,items;medium;diagonal;centered;armor;chest,0.414,"2,3,15,14",thumbs/items_02_00.png
items_02_01,items,2,1,16,32,16,16,chainmail / scale armor,items;sparse;diagonal;centered;armor,0.223,"2,3,15,14",thumbs/items_02_01.png
items_02_02,items,2,2,32,32,16,16,tunic / armor vest,items;medium;diagonal;centered;armor,0.293,"2,3,15,14",thumbs/items_02_02.png
items_02_03,items,2,3,48,32,16,16,belt / sash,items;sparse,0.141,"1,7,14,14",thumbs/items_02_03.png
items_02_04,items,2,4,64,32,16,16,boot,items;sparse;diagonal;centered,0.215,"1,3,16,13",thumbs/items_02_04.png
items_02_05,items,2,5,80,32,16,16,helmet,items;sparse;diagonal;centered,0.227,"4,3,12,14",thumbs/items_02_05.png
items_02_06,items,2,6,96,32,16,16,skull mask / helm,items;sparse;diagonal;centered,0.258,"4,3,12,15",thumbs/items_02_06.png
items_02_07,items,2,7,112,32,16,16,round shield,items;sparse;diagonal;centered;shield,0.273,"2,2,14,14",thumbs/items_02_07.png
items_02_08,items,2,8,128,32,16,16,kite shield,items;medium;diagonal;centered;shield,0.297,"3,1,13,15",thumbs/items_02_08.png
items_02_09,items,2,9,144,32,16,16,door / tall shield,items;sparse;diagonal;centered;shield;door,0.273,"4,1,13,15",thumbs/items_02_09.png
items_02_10,items,2,10,160,32,16,16,food / meat scraps,items;sparse,0.195,"1,2,15,15",thumbs/items_02_10.png
items_02_11,items,2,11,176,32,16,16,food / meat scraps variant,items;sparse,0.219,"1,2,14,15",thumbs/items_02_11.png
items_02_12,items,2,12,192,32,16,16,pants / leggings,items;sparse;diagonal;centered,0.258,"4,2,13,15",thumbs/items_02_12.png
items_02_13,items,2,13,208,32,16,16,wing / cloak,items;sparse,0.188,"3,3,14,14",thumbs/items_02_13.png
items_03_00,items,3,0,0,48,16,16,cauldron / pot,items;sparse,0.176,"3,6,14,15",thumbs/items_03_00.png
items_03_01,items,3,1,16,48,16,16,necklace / pendant,items;sparse,0.086,"4,2,13,15",thumbs/items_03_01.png
items_03_02,items,3,2,32,48,16,16,magic wand / staff,items;sparse,0.141,"1,0,16,15",thumbs/items_03_02.png
items_03_03,items,3,3,48,48,16,16,key ring / bones,items;sparse;diagonal;centered;key,0.188,"2,1,15,13",thumbs/items_03_03.png
items_03_04,items,3,4,64,48,16,16,sparkles / magic effect,items;sparse;diagonal,0.168,"1,2,16,15",thumbs/items_03_04.png
items_03_05,items,3,5,80,48,16,16,egg / rock,items;sparse;diagonal;centered;rock,0.234,"2,7,14,14",thumbs/items_03_05.png
items_03_06,items,3,6,96,48,16,16,candle / tower marker,items;sparse,0.152,"3,4,14,14",thumbs/items_03_06.png
items_03_07,items,3,7,112,48,16,16,feather,items;sparse;diagonal;centered,0.191,"2,2,15,15",thumbs/items_03_07.png
items_03_08,items,3,8,128,48,16,16,bag / backpack,items;medium;centered,0.285,"2,1,14,16",thumbs/items_03_08.png
items_03_09,items,3,9,144,48,16,16,wand / scepter,items;sparse;diagonal;centered,0.137,"1,3,14,15",thumbs/items_03_09.png
items_03_10,items,3,10,160,48,16,16,potion bottle,items;sparse;centered;potion,0.172,"5,1,13,15",thumbs/items_03_10.png
items_03_11,items,3,11,176,48,16,16,broken bone / tool,items;sparse,0.168,"1,3,15,14",thumbs/items_03_11.png
items_03_12,items,3,12,192,48,16,16,treasure chest,items;medium;diagonal;centered;chest,0.367,"1,2,15,15",thumbs/items_03_12.png
items_03_13,items,3,13,208,48,16,16,money bag,items;sparse;centered,0.25,"3,3,13,15",thumbs/items_03_13.png
items_03_14,items,3,14,224,48,16,16,chain / hook,items;sparse,0.16,"2,1,15,15",thumbs/items_03_14.png
items_03_15,items,3,15,240,48,16,16,rope / snake cord,items;sparse,0.156,"2,1,15,15",thumbs/items_03_15.png
items_03_16,items,3,16,256,48,16,16,jar / barrel,items;sparse;diagonal;centered,0.258,"4,3,15,14",thumbs/items_03_16.png
items_03_17,items,3,17,272,48,16,16,map / document,items;medium;diagonal;centered,0.316,"2,5,16,15",thumbs/items_03_17.png
items_03_18,items,3,18,288,48,16,16,waterskin / flask,items;sparse,0.102,"2,3,15,15",thumbs/items_03_18.png
items_03_19,items,3,19,304,48,16,16,bird / winged item,items;sparse;centered;bird,0.168,"2,4,14,15",thumbs/items_03_19.png
items_03_20,items,3,20,320,48,16,16,horned skull,items;medium;diagonal;centered,0.336,"2,1,15,16",thumbs/items_03_20.png
items_03_21,items,3,21,336,48,16,16,fish bones,items;sparse,0.195,"1,1,14,15",thumbs/items_03_21.png
items_03_22,items,3,22,352,48,16,16,egg / pebble,items;sparse;centered,0.191,"4,6,13,15",thumbs/items_03_22.png
items_03_23,items,3,23,368,48,16,16,crown / diadem,items;sparse,0.211,"1,7,16,16",thumbs/items_03_23.png
items_04_00,items,4,0,0,64,16,16,book / tome,items;medium;diagonal;centered;book,0.383,"1,2,15,16",thumbs/items_04_00.png
items_04_01,items,4,1,16,64,16,16,potion flask,items;sparse;centered;potion,0.246,"3,2,13,15",thumbs/items_04_01.png
items_04_02,items,4,2,32,64,16,16,flower / herbs,items;sparse,0.195,"1,0,16,15",thumbs/items_04_02.png
items_04_03,items,4,3,48,64,16,16,house / hut icon,items;sparse;diagonal;centered,0.227,"3,2,14,14",thumbs/items_04_03.png
items_04_04,items,4,4,64,64,16,16,ring with sparkle,items;sparse;diagonal;centered,0.18,"1,3,15,14",thumbs/items_04_04.png
items_04_05,items,4,5,80,64,16,16,scythe,items;sparse;diagonal,0.156,"1,1,15,15",thumbs/items_04_05.png
items_04_06,items,4,6,96,64,16,16,bow / curved staff,items;sparse;diagonal;centered;bow,0.168,"2,1,15,15",thumbs/items_04_06.png
items_04_07,items,4,7,112,64,16,16,map / parchment,items;medium;diagonal;centered,0.473,"2,1,15,15",thumbs/items_04_07.png
items_04_08,items,4,8,128,64,16,16,orb / crystal ball,items;medium;diagonal;centered,0.348,"2,1,14,15",thumbs/items_04_08.png
items_04_09,items,4,9,144,64,16,16,lantern,items;sparse,0.129,"4,1,11,15",thumbs/items_04_09.png
items_04_10,items,4,10,160,64,16,16,seated small figure,items;sparse;centered,0.121,"5,2,12,14",thumbs/items_04_10.png
items_04_11,items,4,11,176,64,16,16,kneeling small figure,items;sparse,0.129,"5,2,12,15",thumbs/items_04_11.png
items_04_12,items,4,12,192,64,16,16,cloak / robe,items;sparse;diagonal;centered,0.203,"4,3,13,14",thumbs/items_04_12.png
items_04_13,items,4,13,208,64,16,16,pedestal / stand,items;sparse;centered,0.18,"4,4,12,15",thumbs/items_04_13.png
items_04_14,items,4,14,224,64,16,16,needle / spike,items;sparse;diagonal,0.094,"1,4,13,15",thumbs/items_04_14.png
items_04_15,items,4,15,240,64,16,16,sword with hilt,items;sparse;centered;sword,0.199,"1,0,15,15",thumbs/items_04_15.png
items_04_16,items,4,16,256,64,16,16,cracked wall / debris,items;sparse;centered;wall,0.195,"3,2,15,15",thumbs/items_04_16.png
items_04_17,items,4,17,272,64,16,16,bed / bench,items;sparse;centered,0.191,"1,5,16,13",thumbs/items_04_17.png
items_04_18,items,4,18,288,64,16,16,tattered map / banner,items;medium;diagonal;centered,0.332,"2,1,14,15",thumbs/items_04_18.png
items_04_19,items,4,19,304,64,16,16,long key,items;sparse;key,0.102,"1,7,15,11",thumbs/items_04_19.png
items_04_20,items,4,20,320,64,16,16,glove / hand,items;sparse;diagonal;centered,0.184,"2,4,14,15",thumbs/items_04_20.png
items_04_21,items,4,21,336,64,16,16,shirt / tunic,items;sparse;centered,0.137,"5,1,11,15",thumbs/items_04_21.png
creatures_00_00,creatures,0,0,0,0,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.164,"3,1,13,15",thumbs/creatures_00_00.png
creatures_00_01,creatures,0,1,16,0,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.176,"3,1,13,15",thumbs/creatures_00_01.png
creatures_00_02,creatures,0,2,32,0,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.195,"1,1,13,15",thumbs/creatures_00_02.png
creatures_00_03,creatures,0,3,48,0,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.25,"1,0,13,15",thumbs/creatures_00_03.png
creatures_00_04,creatures,0,4,64,0,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.238,"2,0,14,15",thumbs/creatures_00_04.png
creatures_00_05,creatures,0,5,80,0,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.246,"2,0,14,15",thumbs/creatures_00_05.png
creatures_00_06,creatures,0,6,96,0,16,16,humanoid adventurer / NPC variant,creatures;medium;diagonal;centered;humanoid,0.324,"0,0,15,15",thumbs/creatures_00_06.png
creatures_00_07,creatures,0,7,112,0,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.195,"2,1,15,15",thumbs/creatures_00_07.png
creatures_00_08,creatures,0,8,128,0,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.27,"3,0,15,15",thumbs/creatures_00_08.png
creatures_00_09,creatures,0,9,144,0,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.262,"1,0,15,15",thumbs/creatures_00_09.png
creatures_00_10,creatures,0,10,160,0,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.223,"1,0,13,15",thumbs/creatures_00_10.png
creatures_00_11,creatures,0,11,176,0,16,16,humanoid adventurer / NPC variant,creatures;sparse;humanoid,0.23,"1,0,13,15",thumbs/creatures_00_11.png
creatures_00_12,creatures,0,12,192,0,16,16,humanoid adventurer / NPC variant,creatures;medium;diagonal;centered;humanoid,0.281,"2,0,13,15",thumbs/creatures_00_12.png
creatures_00_13,creatures,0,13,208,0,16,16,humanoid adventurer / NPC variant,creatures;medium;diagonal;centered;humanoid,0.281,"2,0,13,15",thumbs/creatures_00_13.png
creatures_00_14,creatures,0,14,224,0,16,16,humanoid adventurer / NPC variant,creatures;medium;diagonal;centered;humanoid,0.316,"2,0,14,16",thumbs/creatures_00_14.png
creatures_00_15,creatures,0,15,240,0,16,16,humanoid adventurer / NPC variant,creatures;medium;diagonal;centered;humanoid,0.332,"2,0,15,16",thumbs/creatures_00_15.png
creatures_01_00,creatures,1,0,0,16,16,16,humanoid adventurer / NPC variant,creatures;medium;diagonal;centered;humanoid,0.285,"0,0,14,15",thumbs/creatures_01_00.png
creatures_01_01,creatures,1,1,16,16,16,16,humanoid adventurer / NPC variant,creatures;medium;diagonal;centered;humanoid,0.289,"0,0,14,15",thumbs/creatures_01_01.png
creatures_01_02,creatures,1,2,32,16,16,16,humanoid adventurer / NPC variant,creatures;sparse;edge-touching;centered;humanoid,0.211,"2,0,16,16",thumbs/creatures_01_02.png
creatures_01_03,creatures,1,3,48,16,16,16,humanoid adventurer / NPC variant,creatures;sparse;edge-touching;centered;humanoid,0.227,"2,0,16,16",thumbs/creatures_01_03.png
creatures_01_04,creatures,1,4,64,16,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.211,"3,1,13,16",thumbs/creatures_01_04.png
creatures_01_05,creatures,1,5,80,16,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.223,"3,1,13,16",thumbs/creatures_01_05.png
creatures_01_06,creatures,1,6,96,16,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.23,"2,1,14,16",thumbs/creatures_01_06.png
creatures_01_07,creatures,1,7,112,16,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.242,"2,1,14,16",thumbs/creatures_01_07.png
creatures_01_08,creatures,1,8,128,16,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.18,"3,1,13,16",thumbs/creatures_01_08.png
creatures_01_09,creatures,1,9,144,16,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.238,"3,1,13,16",thumbs/creatures_01_09.png
creatures_01_10,creatures,1,10,160,16,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.16,"3,1,13,15",thumbs/creatures_01_10.png
creatures_01_11,creatures,1,11,176,16,16,16,humanoid adventurer / NPC variant,creatures;sparse;centered;humanoid,0.203,"3,1,13,15",thumbs/creatures_01_11.png
creatures_03_00,creatures,3,0,0,48,16,16,small monster / goblin-like creature,creatures;medium;diagonal;centered;creature;monster,0.297,"0,0,15,15",thumbs/creatures_03_00.png
creatures_03_01,creatures,3,1,16,48,16,16,small monster / goblin-like creature,creatures;medium;diagonal;edge-touching;centered;creature;monster,0.359,"0,0,16,15",thumbs/creatures_03_01.png
creatures_03_02,creatures,3,2,32,48,16,16,small monster / goblin-like creature,creatures;medium;creature;monster,0.328,"0,0,15,15",thumbs/creatures_03_02.png
creatures_03_03,creatures,3,3,48,48,16,16,small monster / goblin-like creature,creatures;sparse;centered;creature;monster,0.238,"1,1,14,15",thumbs/creatures_03_03.png
creatures_03_04,creatures,3,4,64,48,16,16,small monster / goblin-like creature,creatures;sparse;creature;monster,0.207,"2,1,14,15",thumbs/creatures_03_04.png
creatures_03_05,creatures,3,5,80,48,16,16,small monster / goblin-like creature,creatures;medium;centered;creature;monster,0.305,"1,0,15,16",thumbs/creatures_03_05.png
creatures_03_06,creatures,3,6,96,48,16,16,small monster / goblin-like creature,creatures;sparse;centered;creature;monster,0.234,"1,0,13,15",thumbs/creatures_03_06.png
creatures_03_07,creatures,3,7,112,48,16,16,small monster / goblin-like creature,creatures;sparse;centered;creature;monster,0.246,"1,0,13,15",thumbs/creatures_03_07.png
creatures_03_08,creatures,3,8,128,48,16,16,small humanoid / mage variant,creatures;sparse;humanoid,0.156,"3,0,13,15",thumbs/creatures_03_08.png
creatures_03_09,creatures,3,9,144,48,16,16,small humanoid / mage variant,creatures;sparse;humanoid,0.164,"3,0,13,15",thumbs/creatures_03_09.png
creatures_03_10,creatures,3,10,160,48,16,16,small humanoid / mage variant,creatures;sparse;centered;humanoid,0.16,"3,2,13,15",thumbs/creatures_03_10.png
creatures_03_11,creatures,3,11,176,48,16,16,small humanoid / mage variant,creatures;sparse;centered;humanoid,0.16,"3,3,13,15",thumbs/creatures_03_11.png
creatures_03_12,creatures,3,12,192,48,16,16,small flying/monster icon,creatures;sparse;monster,0.129,"2,4,14,15",thumbs/creatures_03_12.png
creatures_03_13,creatures,3,13,208,48,16,16,small flying/monster icon,creatures;sparse;centered;monster,0.18,"1,1,15,15",thumbs/creatures_03_13.png
creatures_03_14,creatures,3,14,224,48,16,16,small flying/monster icon,creatures;sparse;centered;monster,0.195,"3,3,15,15",thumbs/creatures_03_14.png
creatures_03_15,creatures,3,15,240,48,16,16,small flying/monster icon,creatures;sparse;centered;monster,0.121,"3,6,15,15",thumbs/creatures_03_15.png
